635
D00049	hsa:338442	Interactive	1.0
D00454	hsa:155	Interactive	1.0
D00454	hsa:1812	Interactive	1.0
D00454	hsa:1813	Interactive	1.0
D00454	hsa:1814	Interactive	1.0
D00454	hsa:1815	Interactive	1.0
D00454	hsa:1816	Interactive	1.0
D00454	hsa:3269	Interactive	1.0
D00454	hsa:3356	Interactive	1.0
D00454	hsa:3358	Interactive	1.0
D00454	hsa:3362	Interactive	1.0
D00465	hsa:1128	Interactive	1.0
D00465	hsa:1129	Interactive	1.0
D00480	hsa:3269	Interactive	1.0
D00483	hsa:153	Interactive	1.0
D00483	hsa:154	Interactive	1.0
D00483	hsa:155	Interactive	1.0
D00493	hsa:1812	Interactive	1.0
D00493	hsa:1813	Interactive	1.0
D00493	hsa:1814	Interactive	1.0
D00493	hsa:1816	Interactive	1.0
D00493	hsa:3269	Interactive	1.0
D00493	hsa:3356	Interactive	1.0
D00494	hsa:11255	Interactive	1.0
D00494	hsa:1128	Interactive	1.0
D00494	hsa:1129	Interactive	1.0
D00494	hsa:1131	Interactive	1.0
D00494	hsa:1132	Interactive	1.0
D00494	hsa:1133	Interactive	1.0
D00494	hsa:148	Interactive	1.0
D00494	hsa:1813	Interactive	1.0
D00494	hsa:3269	Interactive	1.0
D00494	hsa:3356	Interactive	1.0
D00494	hsa:59340	Interactive	1.0
D00498	hsa:4988	Interactive	1.0
D00499	hsa:8843	Interactive	1.0
D00503	hsa:148	Interactive	1.0
D00503	hsa:1812	Interactive	1.0
D00503	hsa:1813	Interactive	1.0
D00503	hsa:1814	Interactive	1.0
D00509	hsa:146	Interactive	1.0
D00509	hsa:147	Interactive	1.0
D00509	hsa:148	Interactive	1.0
D00509	hsa:150	Interactive	1.0
D00509	hsa:151	Interactive	1.0
D00509	hsa:152	Interactive	1.0
D00513	hsa:146	Interactive	1.0
D00513	hsa:147	Interactive	1.0
D00513	hsa:148	Interactive	1.0
D00513	hsa:150	Interactive	1.0
D00513	hsa:151	Interactive	1.0
D00513	hsa:153	Interactive	1.0
D00513	hsa:154	Interactive	1.0
D00513	hsa:155	Interactive	1.0
D00513	hsa:3350	Interactive	1.0
D00513	hsa:3351	Interactive	1.0
D00513	hsa:3352	Interactive	1.0
D00513	hsa:3354	Interactive	1.0
D00513	hsa:3355	Interactive	1.0
D00513	hsa:3356	Interactive	1.0
D00513	hsa:3357	Interactive	1.0
D00513	hsa:3358	Interactive	1.0
D00513	hsa:3360	Interactive	1.0
D00513	hsa:3361	Interactive	1.0
D00513	hsa:3362	Interactive	1.0
D00514	hsa:150	Interactive	1.0
D00520	hsa:3269	Interactive	1.0
D00521	hsa:3269	Interactive	1.0
D00522	hsa:185	Interactive	1.0
D00523	hsa:185	Interactive	1.0
D00524	hsa:1128	Interactive	1.0
D00524	hsa:1129	Interactive	1.0
D00524	hsa:8843	Interactive	1.0
D00525	hsa:1128	Interactive	1.0
D00528	hsa:10161	Interactive	1.0
D00528	hsa:134	Interactive	1.0
D00528	hsa:135	Interactive	1.0
D00528	hsa:136	Interactive	1.0
D00528	hsa:140	Interactive	1.0
D00528	hsa:2846	Interactive	1.0
D00528	hsa:3577	Interactive	1.0
D00528	hsa:5028	Interactive	1.0
D00528	hsa:5029	Interactive	1.0
D00528	hsa:5030	Interactive	1.0
D00528	hsa:5031	Interactive	1.0
D00528	hsa:5032	Interactive	1.0
D00528	hsa:64805	Interactive	1.0
D00528	hsa:9934	Interactive	1.0
D00540	hsa:1128	Interactive	1.0
D00540	hsa:1129	Interactive	1.0
D00542	hsa:3577	Interactive	1.0
D00559	hsa:1814	Interactive	1.0
D00560	hsa:1812	Interactive	1.0
D00560	hsa:1813	Interactive	1.0
D00560	hsa:1814	Interactive	1.0
D00560	hsa:1816	Interactive	1.0
D00560	hsa:4985	Interactive	1.0
D00563	hsa:150	Interactive	1.0
D00563	hsa:151	Interactive	1.0
D00563	hsa:3356	Interactive	1.0
D00563	hsa:3358	Interactive	1.0
D00574	hsa:3577	Interactive	1.0
D00598	hsa:153	Interactive	1.0
D00598	hsa:154	Interactive	1.0
D00601	hsa:153	Interactive	1.0
D00601	hsa:154	Interactive	1.0
D00604	hsa:146	Interactive	1.0
D00604	hsa:150	Interactive	1.0
D00604	hsa:151	Interactive	1.0
D00604	hsa:152	Interactive	1.0
D00606	hsa:150	Interactive	1.0
D00606	hsa:151	Interactive	1.0
D00606	hsa:152	Interactive	1.0
D00607	hsa:146	Interactive	1.0
D00607	hsa:147	Interactive	1.0
D00607	hsa:148	Interactive	1.0
D00607	hsa:150	Interactive	1.0
D00607	hsa:151	Interactive	1.0
D00607	hsa:152	Interactive	1.0
D00609	hsa:146	Interactive	1.0
D00609	hsa:147	Interactive	1.0
D00609	hsa:148	Interactive	1.0
D00609	hsa:150	Interactive	1.0
D00609	hsa:151	Interactive	1.0
D00609	hsa:152	Interactive	1.0
D00613	hsa:150	Interactive	1.0
D00613	hsa:151	Interactive	1.0
D00613	hsa:152	Interactive	1.0
D00613	hsa:1812	Interactive	1.0
D00613	hsa:1816	Interactive	1.0
D00627	hsa:185	Interactive	1.0
D00632	hsa:153	Interactive	1.0
D00632	hsa:154	Interactive	1.0
D00635	hsa:153	Interactive	1.0
D00635	hsa:154	Interactive	1.0
D00645	hsa:153	Interactive	1.0
D00645	hsa:154	Interactive	1.0
D00646	hsa:1128	Interactive	1.0
D00646	hsa:1129	Interactive	1.0
D00665	hsa:3269	Interactive	1.0
D00666	hsa:3269	Interactive	1.0
D00673	hsa:3274	Interactive	1.0
D00674	hsa:3355	Interactive	1.0
D00675	hsa:3351	Interactive	1.0
D00675	hsa:3352	Interactive	1.0
D00676	hsa:3351	Interactive	1.0
D00676	hsa:3352	Interactive	1.0
D00676	hsa:3355	Interactive	1.0
D00682	hsa:5731	Interactive	1.0
D00683	hsa:154	Interactive	1.0
D00684	hsa:154	Interactive	1.0
D00687	hsa:154	Interactive	1.0
D00688	hsa:154	Interactive	1.0
D00715	hsa:1128	Interactive	1.0
D00726	hsa:1128	Interactive	1.0
D00726	hsa:1813	Interactive	1.0
D00726	hsa:1814	Interactive	1.0
D00726	hsa:3350	Interactive	1.0
D00726	hsa:3351	Interactive	1.0
D00726	hsa:3352	Interactive	1.0
D00726	hsa:3354	Interactive	1.0
D00726	hsa:3355	Interactive	1.0
D00726	hsa:3356	Interactive	1.0
D00726	hsa:3357	Interactive	1.0
D00726	hsa:3358	Interactive	1.0
D00726	hsa:3360	Interactive	1.0
D00726	hsa:3361	Interactive	1.0
D00726	hsa:3362	Interactive	1.0
D00726	hsa:8843	Interactive	1.0
D00760	hsa:1129	Interactive	1.0
D00765	hsa:1129	Interactive	1.0
D00769	hsa:64805	Interactive	1.0
D00775	hsa:2911	Interactive	1.0
D00775	hsa:2912	Interactive	1.0
D00775	hsa:2913	Interactive	1.0
D00775	hsa:2914	Interactive	1.0
D00775	hsa:2915	Interactive	1.0
D00775	hsa:2916	Interactive	1.0
D00775	hsa:2917	Interactive	1.0
D00775	hsa:2918	Interactive	1.0
D00779	hsa:1128	Interactive	1.0
D00779	hsa:1129	Interactive	1.0
D00780	hsa:1813	Interactive	1.0
D00790	hsa:1812	Interactive	1.0
D00790	hsa:1813	Interactive	1.0
D00837	hsa:4986	Interactive	1.0
D00837	hsa:4988	Interactive	1.0
D00838	hsa:4986	Interactive	1.0
D00838	hsa:4988	Interactive	1.0
D00845	hsa:4988	Interactive	1.0
D00954	hsa:148	Interactive	1.0
D00965	hsa:148	Interactive	1.0
D00987	hsa:1813	Interactive	1.0
D00996	hsa:146	Interactive	1.0
D00996	hsa:147	Interactive	1.0
D00996	hsa:148	Interactive	1.0
D00996	hsa:150	Interactive	1.0
D00996	hsa:151	Interactive	1.0
D00996	hsa:152	Interactive	1.0
D00996	hsa:153	Interactive	1.0
D00996	hsa:154	Interactive	1.0
D00996	hsa:155	Interactive	1.0
D01020	hsa:146	Interactive	1.0
D01020	hsa:147	Interactive	1.0
D01020	hsa:148	Interactive	1.0
D01022	hsa:146	Interactive	1.0
D01022	hsa:147	Interactive	1.0
D01022	hsa:148	Interactive	1.0
D01022	hsa:150	Interactive	1.0
D01022	hsa:151	Interactive	1.0
D01022	hsa:152	Interactive	1.0
D01024	hsa:146	Interactive	1.0
D01024	hsa:147	Interactive	1.0
D01024	hsa:148	Interactive	1.0
D01051	hsa:146	Interactive	1.0
D01051	hsa:147	Interactive	1.0
D01051	hsa:148	Interactive	1.0
D01051	hsa:3350	Interactive	1.0
D01051	hsa:3356	Interactive	1.0
D01051	hsa:3363	Interactive	1.0
D01071	hsa:3577	Interactive	1.0
D01103	hsa:1128	Interactive	1.0
D01118	hsa:1128	Interactive	1.0
D01126	hsa:222545	Interactive	1.0
D01164	hsa:1813	Interactive	1.0
D01164	hsa:1814	Interactive	1.0
D01164	hsa:3350	Interactive	1.0
D01164	hsa:3356	Interactive	1.0
D01164	hsa:3357	Interactive	1.0
D01164	hsa:3358	Interactive	1.0
D01227	hsa:1909	Interactive	1.0
D01227	hsa:1910	Interactive	1.0
D01236	hsa:552	Interactive	1.0
D01236	hsa:554	Interactive	1.0
D01242	hsa:3269	Interactive	1.0
D01269	hsa:1128	Interactive	1.0
D01295	hsa:1812	Interactive	1.0
D01295	hsa:1813	Interactive	1.0
D01295	hsa:1814	Interactive	1.0
D01295	hsa:1816	Interactive	1.0
D01295	hsa:3269	Interactive	1.0
D01297	hsa:1128	Interactive	1.0
D01324	hsa:3269	Interactive	1.0
D01332	hsa:3269	Interactive	1.0
D01346	hsa:2918	Interactive	1.0
D01352	hsa:5737	Interactive	1.0
D01352	hsa:5739	Interactive	1.0
D01358	hsa:146	Interactive	1.0
D01358	hsa:147	Interactive	1.0
D01358	hsa:148	Interactive	1.0
D01358	hsa:3356	Interactive	1.0
D01386	hsa:154	Interactive	1.0
D01390	hsa:153	Interactive	1.0
D01390	hsa:154	Interactive	1.0
D01390	hsa:155	Interactive	1.0
D01441	hsa:9283	Interactive	1.0
D01454	hsa:153	Interactive	1.0
D01454	hsa:154	Interactive	1.0
D01454	hsa:155	Interactive	1.0
D01462	hsa:1813	Interactive	1.0
D01603	hsa:146	Interactive	1.0
D01603	hsa:147	Interactive	1.0
D01603	hsa:148	Interactive	1.0
D01603	hsa:150	Interactive	1.0
D01603	hsa:151	Interactive	1.0
D01603	hsa:152	Interactive	1.0
D01652	hsa:5724	Interactive	1.0
D01692	hsa:148	Interactive	1.0
D01699	hsa:1131	Interactive	1.0
D01712	hsa:134	Interactive	1.0
D01712	hsa:135	Interactive	1.0
D01713	hsa:146	Interactive	1.0
D01713	hsa:147	Interactive	1.0
D01713	hsa:148	Interactive	1.0
D01713	hsa:150	Interactive	1.0
D01713	hsa:151	Interactive	1.0
D01713	hsa:3269	Interactive	1.0
D01713	hsa:3274	Interactive	1.0
D01713	hsa:3356	Interactive	1.0
D01717	hsa:23620	Interactive	1.0
D01717	hsa:3269	Interactive	1.0
D01745	hsa:1813	Interactive	1.0
D01782	hsa:3269	Interactive	1.0
D01828	hsa:10800	Interactive	1.0
D01871	hsa:1128	Interactive	1.0
D01871	hsa:1129	Interactive	1.0
D01871	hsa:1131	Interactive	1.0
D01871	hsa:1132	Interactive	1.0
D01871	hsa:1133	Interactive	1.0
D01891	hsa:5733	Interactive	1.0
D01925	hsa:7201	Interactive	1.0
D01964	hsa:5737	Interactive	1.0
D01965	hsa:146	Interactive	1.0
D01965	hsa:147	Interactive	1.0
D01965	hsa:148	Interactive	1.0
D01973	hsa:3350	Interactive	1.0
D01973	hsa:3351	Interactive	1.0
D01973	hsa:3352	Interactive	1.0
D01973	hsa:3354	Interactive	1.0
D01973	hsa:3355	Interactive	1.0
D01973	hsa:3357	Interactive	1.0
D01973	hsa:3363	Interactive	1.0
D01994	hsa:3360	Interactive	1.0
D02007	hsa:7201	Interactive	1.0
D02066	hsa:153	Interactive	1.0
D02066	hsa:154	Interactive	1.0
D02066	hsa:155	Interactive	1.0
D02070	hsa:1128	Interactive	1.0
D02070	hsa:1129	Interactive	1.0
D02070	hsa:1131	Interactive	1.0
D02070	hsa:1132	Interactive	1.0
D02070	hsa:1133	Interactive	1.0
D02076	hsa:150	Interactive	1.0
D02076	hsa:151	Interactive	1.0
D02076	hsa:152	Interactive	1.0
D02082	hsa:185	Interactive	1.0
D02147	hsa:154	Interactive	1.0
D02149	hsa:146	Interactive	1.0
D02149	hsa:147	Interactive	1.0
D02149	hsa:148	Interactive	1.0
D02149	hsa:150	Interactive	1.0
D02149	hsa:151	Interactive	1.0
D02149	hsa:152	Interactive	1.0
D02149	hsa:153	Interactive	1.0
D02149	hsa:154	Interactive	1.0
D02149	hsa:155	Interactive	1.0
D02150	hsa:153	Interactive	1.0
D02150	hsa:154	Interactive	1.0
D02150	hsa:155	Interactive	1.0
D02234	hsa:146	Interactive	1.0
D02234	hsa:147	Interactive	1.0
D02234	hsa:148	Interactive	1.0
D02237	hsa:146	Interactive	1.0
D02237	hsa:147	Interactive	1.0
D02237	hsa:148	Interactive	1.0
D02237	hsa:150	Interactive	1.0
D02237	hsa:151	Interactive	1.0
D02237	hsa:152	Interactive	1.0
D02250	hsa:6752	Interactive	1.0
D02250	hsa:6753	Interactive	1.0
D02250	hsa:6755	Interactive	1.0
D02278	hsa:222545	Interactive	1.0
D02279	hsa:222545	Interactive	1.0
D02327	hsa:1128	Interactive	1.0
D02327	hsa:3269	Interactive	1.0
D02338	hsa:153	Interactive	1.0
D02338	hsa:154	Interactive	1.0
D02338	hsa:155	Interactive	1.0
D02340	hsa:1813	Interactive	1.0
D02340	hsa:1814	Interactive	1.0
D02340	hsa:3356	Interactive	1.0
D02342	hsa:153	Interactive	1.0
D02342	hsa:154	Interactive	1.0
D02349	hsa:150	Interactive	1.0
D02354	hsa:1128	Interactive	1.0
D02354	hsa:1129	Interactive	1.0
D02354	hsa:1131	Interactive	1.0
D02354	hsa:1132	Interactive	1.0
D02354	hsa:1133	Interactive	1.0
D02354	hsa:1812	Interactive	1.0
D02354	hsa:1813	Interactive	1.0
D02354	hsa:1815	Interactive	1.0
D02354	hsa:3269	Interactive	1.0
D02354	hsa:3356	Interactive	1.0
D02354	hsa:3358	Interactive	1.0
D02356	hsa:1128	Interactive	1.0
D02356	hsa:1129	Interactive	1.0
D02356	hsa:146	Interactive	1.0
D02356	hsa:147	Interactive	1.0
D02356	hsa:148	Interactive	1.0
D02356	hsa:150	Interactive	1.0
D02356	hsa:151	Interactive	1.0
D02357	hsa:3356	Interactive	1.0
D02358	hsa:153	Interactive	1.0
D02359	hsa:154	Interactive	1.0
D02361	hsa:1128	Interactive	1.0
D02361	hsa:1129	Interactive	1.0
D02361	hsa:1131	Interactive	1.0
D02361	hsa:1132	Interactive	1.0
D02361	hsa:1133	Interactive	1.0
D02361	hsa:146	Interactive	1.0
D02361	hsa:147	Interactive	1.0
D02361	hsa:148	Interactive	1.0
D02361	hsa:1812	Interactive	1.0
D02361	hsa:1813	Interactive	1.0
D02361	hsa:1815	Interactive	1.0
D02361	hsa:3269	Interactive	1.0
D02361	hsa:3356	Interactive	1.0
D02361	hsa:3358	Interactive	1.0
D02374	hsa:153	Interactive	1.0
D02374	hsa:154	Interactive	1.0
D02374	hsa:155	Interactive	1.0
D02566	hsa:11255	Interactive	1.0
D02566	hsa:148	Interactive	1.0
D02566	hsa:3269	Interactive	1.0
D02566	hsa:59340	Interactive	1.0
D02578	hsa:3358	Interactive	1.0
D02578	hsa:4543	Interactive	1.0
D02588	hsa:7201	Interactive	1.0
D02614	hsa:153	Interactive	1.0
D02671	hsa:1812	Interactive	1.0
D02671	hsa:1813	Interactive	1.0
D02671	hsa:1814	Interactive	1.0
D02671	hsa:1816	Interactive	1.0
D02671	hsa:3356	Interactive	1.0
D02721	hsa:5731	Interactive	1.0
D02721	hsa:5739	Interactive	1.0
D02725	hsa:5731	Interactive	1.0
D02725	hsa:5733	Interactive	1.0
D02826	hsa:3351	Interactive	1.0
D02826	hsa:3352	Interactive	1.0
D02884	hsa:134	Interactive	1.0
D02884	hsa:135	Interactive	1.0
D02910	hsa:148	Interactive	1.0
D02910	hsa:153	Interactive	1.0
D03165	hsa:1813	Interactive	1.0
D03187	hsa:5732	Interactive	1.0
D03210	hsa:1234	Interactive	1.0
D03274	hsa:150	Interactive	1.0
D03274	hsa:151	Interactive	1.0
D03274	hsa:152	Interactive	1.0
D03365	hsa:8843	Interactive	1.0
D03415	hsa:153	Interactive	1.0
D03415	hsa:154	Interactive	1.0
D03415	hsa:155	Interactive	1.0
D03442	hsa:886	Interactive	1.0
D03442	hsa:887	Interactive	1.0
D03490	hsa:153	Interactive	1.0
D03490	hsa:154	Interactive	1.0
D03503	hsa:3274	Interactive	1.0
D03621	hsa:1128	Interactive	1.0
D03621	hsa:1129	Interactive	1.0
D03621	hsa:1131	Interactive	1.0
D03621	hsa:3269	Interactive	1.0
D03642	hsa:6915	Interactive	1.0
D03654	hsa:1131	Interactive	1.0
D03858	hsa:1128	Interactive	1.0
D03858	hsa:1129	Interactive	1.0
D03858	hsa:1131	Interactive	1.0
D03879	hsa:153	Interactive	1.0
D03879	hsa:154	Interactive	1.0
D03879	hsa:155	Interactive	1.0
D03880	hsa:153	Interactive	1.0
D03880	hsa:154	Interactive	1.0
D03881	hsa:153	Interactive	1.0
D03881	hsa:154	Interactive	1.0
D03966	hsa:2912	Interactive	1.0
D03966	hsa:2913	Interactive	1.0
D03966	hsa:2916	Interactive	1.0
D03966	hsa:2918	Interactive	1.0
D04006	hsa:136	Interactive	1.0
D04034	hsa:150	Interactive	1.0
D04034	hsa:151	Interactive	1.0
D04034	hsa:152	Interactive	1.0
D04040	hsa:185	Interactive	1.0
D04375	hsa:150	Interactive	1.0
D04625	hsa:153	Interactive	1.0
D04716	hsa:4988	Interactive	1.0
D04979	hsa:3269	Interactive	1.0
D05113	hsa:4988	Interactive	1.0
D05129	hsa:10800	Interactive	1.0
D05129	hsa:3269	Interactive	1.0
D05129	hsa:57105	Interactive	1.0
D05129	hsa:5729	Interactive	1.0
D05246	hsa:185	Interactive	1.0
D05312	hsa:4985	Interactive	1.0
D05312	hsa:4986	Interactive	1.0
D05312	hsa:4988	Interactive	1.0
D05341	hsa:6010	Interactive	1.0
D05740	hsa:3351	Interactive	1.0
D05740	hsa:3352	Interactive	1.0
D05792	hsa:154	Interactive	1.0
D05938	hsa:4988	Interactive	1.0
D06056	hsa:3360	Interactive	1.0
D06396	hsa:3360	Interactive	1.0
